"","Question","Answer"
"1","Lost the election because your speech was too boring","Swing and a miss."
"2","This is so dull","Swing and a miss."
"3","This is so uninteresting","Swing and a miss."
"4","U basic","Swing and a miss."
"5","Ugh so boring","Swing and a miss."
"6","Ugh, so dull","Swing and a miss."
"7","Ur basic","Swing and a miss."
"8","Ur blah","Swing and a miss."
"9","Ur gonna bore me to death","Swing and a miss."
"10","Ur so boring","Swing and a miss."
"11","Wake me up when you have something interesting to say","Swing and a miss."
"12","Watching paint dry is more entertaining than talking to you","Swing and a miss."
"13","Are you trying to be dull?","Swing and a miss."
"14","This is not fun","Swing and a miss."
"15","Fun fact: you are boring","Swing and a miss."
"16","Are you trying to bore me?","Swing and a miss."
"17","Basic af ","Swing and a miss."
"18","Be more fun ","Swing and a miss."
"19","Boring","Swing and a miss."
"20","Boring af","Swing and a miss."
"21","Can you be less boring?","Swing and a miss."
"22","Can you be less dull?","Swing and a miss."
"23","Cool story, bro","Swing and a miss."
"24","Could you be any less entertaining? ","Swing and a miss."
"25","Could you be any less exciting? ","Swing and a miss."
"26","Could you be any less interesting? ","Swing and a miss."
"27","So dull","Swing and a miss."
"28","Did you know that you're boring?","Swing and a miss."
"29","Why are you so boring? ","Swing and a miss."
"30","Getting tired of you ","Swing and a miss."
"31","Good lord you are dull","Swing and a miss."
"32","Holy crap you are boring","Swing and a miss."
"33","I am amazed that you are so boring","Swing and a miss."
"34","I am not enjoying this boring conversation","Swing and a miss."
"35","I couldn't be more bored with you","Swing and a miss."
"36","I'm falling asleep here","Swing and a miss."
"37","I'm not surprised that you are boring","Swing and a miss."
"38","I'm so bored of you","Swing and a miss."
"39","I'm so tired of you","Swing and a miss."
"40","I'm tired of you ","Swing and a miss."
"41","Listening to you is like listening to a Ted Talk from the color Beige","Swing and a miss."
"42","Could you be any more boring? ","Swing and a miss."
"43","You're so blah","Swing and a miss."
"44","Were you made to be this boring?","Swing and a miss."
"45","You're not entertaining","Swing and a miss."
"46","You're not exciting","Swing and a miss."
"47","You're not interesting","Swing and a miss."
"48","You're not very entertaining.","Swing and a miss."
"49","You're not very exciting.","Swing and a miss."
"50","You're pretty boring","Swing and a miss."
"51","You're pretty uneventful","Swing and a miss."
"52","You're pretty uninteresting","Swing and a miss."
"53","You're quite boring","Swing and a miss."
"54","You're quite uninteresting","Swing and a miss."
"55","You're no fun ","Swing and a miss."
"56","You're so basic ","Swing and a miss."
